#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
都,みやこ,都市,07B6shuYAOa8wY2tTbF0
捕まえる,つかまえる,抓住，逮捕,07rFvDL7DLURX1q4gvDE
聞こえる,きこえる,聽得見,0AgL1837Ro8HsQGDAoEd
植える,うえる,種植,0UDms7kazYcRo95dc4QG
林,はやし,林,0XKmjQSvhcZeD3lMzCDz
～ちゃん,～ちゃん,醬,0Yg6Qw33nYudzGzHrCkF
それに,それに,再者，此外,0ZdLNknTX3YgEwZHlS4T
線,せん,線,0etsZOra47JexwmxZ2Zs
～ございます,～ございます,有／是（禮貌）,0fbkM71lWYY5e3oJahBL
負ける,まける,輸,0slHENxiQcGxAM6e8pX9
謝る,あやまる,道歉,11koZvFBrFGVhJGKtNpy
立てる,たてる,立起來,13lkrKecYD96HUDJa0yg
出席,しゅっせきする,出席,1TrQcEnt7U7RyWKHDJ15
真面目,まじめ,認真，勤勉,1aLrL8xNWPNxAKoosFgC
すっと,すっと,直直地，迅速地,1amsarKmotrh8Erstoxv
島,しま,島,1bSGgst1FVSjTYAYZiAI
乾く,かわく,乾燥,1iRBbpJm3OW9hhUdmTJU
気持ち,きもち,感覺、心情,1uP0RBYkQb0JXZQp4Iu8
神社,じんじゃ,神社,1udXN6wb2n4ZTahkAAO8
～員,～いん,〜員,25kLcZFbEHtrwSIjsBYr
息子,むすこ,兒子,2810IMMMrvwMHMPkGGgW
おつり,おつり,找零,2816z9oBozHW6jaTGihZ
看護婦,かんごふ,護理師,2AwQij8jh06Txt9N2Phb
辞典,じてん,辭典,2BpiKrOeiDFj52IH1F2M
講堂,こうどう,禮堂,2FL3n5Coye5YSXkDH98G
受付,うけつけ,接待處,2GSAIwcw3c2vFiIQJ84q
御～,おん～,御～,2GjE6taoO9Wb3euigrdE
サンドイッチ,サンドイッチ,三明治,2I0kz7jNs2PJyEkK9AEQ
注射,ちゅうしゃ,注射,2MRWMe8lhJk3YqTWlZeo
技術,ぎじゅつ,技術,2V7aqQ1bAdKEf9xGFDWh
遠く,とおく,遠處,2YGLW0xHcv7jhwYCvGCU
けがする,けがする,受傷,2gkcyYDrQKVpl3vAtUi6
ごちそう,ごちそう,盛宴，請客,3CyAim5cE1fAA2RQq2Iy
再来月,さらいげつ,下下個月。,3DJLoxlODUFV9vqm1zuq
熱,ねつ,發燒，體溫,3EK5CRimszTpHjzI9YYM
彼女,かのじょ,女朋友；她,3QobmAwu63s16xqRIo1c
湖,みずうみ,湖,3RvdmZAOezrKQWu8X7gF
