#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
易しい,やさしい,易容的,0282PDK8R0tdepgAbRJj
水,みず,水,067EGHsiHo77OWLKQ2ky
時計,とけい,手錶、時鐘,0F5y4DQHD66jhcvyIgJS
妹,いもうと,妹妹,0Lni5rUrZBWzJn5PRAIK
男,おとこ,男,0NhmvSqIMSJEzCbeYFw6
どちら,どちら,哪一個、哪裡,0VCUqzoXR13n1FMDpEjO
出口,でぐち,出口,0X7jBFI45Usf7uKH6blb
今日,こんにち,今日,0Z3OI8L8CUzoP88UFef4
机,つくえ,書桌,0i1SfeZPVtoCmKsutmzS
いつも,いつも,總是,0p3CwXxF9y1x1gMElclZ
歌,うた,歌,0plPLNpD7ZuSxTzQbwFj
六つ,むっつ,六個物品,0xkDYkwpsJddmADhdxzv
もっと,もっと,更多,146yQYmKnnrBGyq33CkU
締める,しめる,繫上，扣緊，勒緊,179xmV6wLMFWUxlkEeLj
学校,がっこう,學校,1E8Pt09CzAaziTOrGzQt
私,わたくし,我,1LvvIMZ8N3t14UxbZqkD
ドア,ドア,門,1TYUiUiQOClqnarQDDJX
家庭,かてい,家庭,1ewQfinzwEsKcpTxx5M0
練習,れんしゅう (する),練習,1gCk0U6SlSsV8rzPYPNs
借りる,かりる,借,1mV7CC7gbyHPQSxnM3yj
書く,かく,寫,1moUyn8EJDMU0wj6wkUD
方,ほう,位／方法,1p5SlV7zBTrTKDvltU0b
バター,バター,奶油,24wzyBys29ruKPn8TAer
汚い,きたない,骯髒，不乾淨，污穢,2BwbJPV2q0V9pqguqjnc
階段,かいだん,樓梯,2KjLCwqPcptq9BvnBGAq
隣,となり,隔壁,2PDdqH2bXBPQnCsOjaoR
こっち,こっち,這邊，這裡，這位,2XohXTqhJaV1gYpPANRQ
開ける,あける,打開,2jKWOFmZV2htW16yEFwm
～本,～ほん,長條狀物體的計量單位,2lKOThbzDSVlxGRa3On4
結婚,けっこん (する),結婚,2ljmG40HXXU8h4rmHVWD
うるさい,うるさい,吵鬧，煩人,2mljwogmxnlInYLyaKAj
テープレコーダー,テープレコーダー,磁帶錄音機,2mzJ1QXKBAeTz2r7g3hn
それから,それから,然後，那之後,2r3VgAK3ebQcchalRYJ9
角,つの,角落,2tXoEd6Kd0RQgcFYw33T
友達,ともだち,朋友,2wqYsetPWAcZsPyjxZZF
薄い,うすい,薄的，弱的,355jZXKqm0xcwm776Jz5
お～,お～,尊稱前綴,37oTr8HXVwMYYGdR1OuV
先,せん,未來，近期，先前,3GRIijXmjBZnN8Y7xjoB
シャツ,シャツ,襯衫,3MBBrYlJ36Svx1qjxQzp
花瓶,かびん,花瓶,3NGxQHbxEzkAt1I9PR6H
木曜日,もくようび,木曜日,3NHtGq4DQyWSoO0vbnwf
お弁当,おべんとう,便當,3S8vdnR1Ynw6QI4M5tdW
困る,こまる,困擾，感到困難,3TH2HJXA8QEBGTwGSh16
使う,つかう,使用,3UtWCY8LH3JZ03ezRXVG
寝る,ねる,睡覺,3YlNr93x15l4A7S4CKvK
切手,きって,郵票,3ag03zBV2kF7E3WDm8qN
漢字,かんじ,漢字,3ewFfFdpsybsSihCJOFA
話,はなし,"談話, 故事",3oYxUPwxxczoJTEpk41D
庭,にわ,庭院,3snAyiIi3sLY73ezq7D2
声,こえ,聲,42eaYTO43EeBT1fjrn4V
男の子,おとこのこ,男孩,49LnDSPSie0ORQVrbL7R
死ぬ,しぬ,死,4A0XoiO2HcGEmJkAMx3l
ラジオカセ,ラジオカセ,收音錄音機,4AErsQOMxqrrujR2KRDO
泳ぐ,およぐ,游泳,4LTaepvfYqX0xUTBQRJo
お腹,おなか,腹部,4T6GEFYLbYCxH1ppwY0D
遠い,とおい,遠的,4aYQa3efNliwWZn7Enlt
伯母さん; 叔母さん,おばさん,阿姨,50TYFtOH27jpANPiOU4G
どっち,どっち,哪一個,52G9F6skG6yw9yoaoCaO
どうも,どうも,謝謝；總是；無論如何,58CYSmQ9Vit3iO7BYFIn
村,むら,村,5DoPSbvdWg8QX5HbitfN
七,しち,七,5ERDstBk5jU7jTYvJ6n1
暗い,くらい,暗淡,5ImxfBrP75Xbsh7pfvHU
宿題,しゅくだい,作業,5aDpQ5zpx6IBbdy1oOs6
一緒,いっしょ,一起,5dAnlg8UDLiTLd512lE7
しかし,しかし,但是,5lWQUtCdDlmzzC27B78M
郵便局,ゆうびんきょく,郵便局,5m898dlIWxzCn0WwFEuy
セーター,セーター,毛衣,5tHOXdkkXcXSynszzL1t
いいえ,いいえ,不,644TIlJYnOwTJ65WShEb
耳,みみ,耳,6470aHvoKhvgdCOn0IQ1
乗る,のる,搭乘,6D7ULT5JYxFzSHfn12ED
おじいさん,おじいさん,祖父，老人家,6JPXX7PTL2ujvshDTn67
狭い,せまい,狹窄,6RhGmCLXQH3XyvI7Ah3F
あれ,あれ,那個,6VXmcsAQamvo07fCtKni
お姉さん,おねえさん,姐姐,6dvCmeaDLmShZRvbkAD7
紅茶,こうちゃ,紅茶,6gSqi4OLLUuJ6wwDbip2
青,あお,藍,6kwhvj0ZoK5IktthZgpX
大人,おとな,成人,6wdBjxbRuZZQyPbmGfUP
どの,どの,哪一個,6x3FagcWvbPqiMw2MdEa
吸う,すう,吸入，吸吮,6yHPPumoRvsrvabiH1J8
～台,～だい,車輛或機器計量單位,78YqKKzeXDHyKCYwsRlF
アパート,アパート,公寓,7F4OQIxY4ie67A2RHR2f
～年,～ねん,~年,7GEdXuBNX2eBJcZsiITf
食べ物,たべもの,食物,7LZKLEJBMwr3az3Q1Bxk
七つ,ななつ,七個東西,7QHLtAa88bQAVX7iX1b9
洗濯,せんたく,洗濯,7XHfoiebb65qrnZlRsYA
背広,せびろ,西裝,7jawAkBylNZ9r7IW7pwX
遊ぶ,あそぶ,玩耍、遊玩、消遣、聚會,7q415hP9ej2VF7KdpEn5
夏,なつ,夏,7tvb23bKNt3rfs0lZ2bV
あちら,あちら,那邊,83rIPfzmMNMkZ8F6PdAh
クラス,クラス,班級,8Avb1faT1ArhyKSZaf2y
映画,えいが,電影,8OGKmwPGMtPGy1I8YSG8
スポーツ,スポーツ,運動,8PTTPsiqRqNnO2F2l5Qd
会う,あう,見面,8Q7jT7ieaD6y1SiV5jun
浴びる,あびる,沐浴，淋浴,8QlVHLVvQQ9SbpNOT1xN
病院,びょういん,醫院,8Uwc9pclZMenidoyme5G
あなた,あなた,你,8XzaKGYWC8fFWVrLdXG6
風,かぜ,風,8bhwYciCUiMZJFo5YWcY
降る,ふる,降落,8bygYJWUAx0dCUQo2qCX
千,せん,千,8ew24JlEt11bfFnWKVU9
夜,よ,夜,8fGkMwVETXiPWZFynjDv
ペット,ペット,寵物,8pVQj0PpHWDOukQlTnPM
辛い,つらい,辣的，鹹的,91pem42u5h0sgfQnsOHL
四日,よっか,四日,94LnoDaF4CvbRPG90YSo
分かる,わかる,理解,94WlXWcxVwci3l5ga4fQ
西,にし,西,96Bwey1aZfPlqmjDUqOV
銀行,ぎんこう,銀行,9FGc6TkM8OMorJ0Ex7SE
次,つぎ,下,9HKS1p8XnDOmZHFN1jAC
強い,つよい,強大,9IsIX8GhWpkI6NCxWkRC
旅行,りょこう,旅行,9LssOp2EIEIC2q7aNBPE
台所,だいどころ,廚房,9SrwewLKWZOit4fIsTFp
私,わたし,我,9TWKxYiT2DdXn0Jumalr
長い,ながい,長,9hBpWxepYVME3Mkv9cGV
はい,はい,是,9nHMgYgTQUhcDliYpKLL
吹く,ふく,吹,9qbE1zY1nr8bSGDYppq3
美味しい,おいしい,美味的,9tZswoWjUosLGcOFAQvr
できる,できる,能夠做到,A2iIAtSSahw7yMOYxBng
上手,じょうず,擅長,A6rmKnqmYAz9Zaf7fv0e
三つ,みっつ,三個物品,ABzBFCUVx4SAEHsRruVq
掛ける,かける,掛上,ADjjN8aVMHBw9z2fhXE7
飛ぶ,とぶ,飛，跳躍,AFZDms30AqMUt4sVApmN
タクシー,タクシー,計程車,AJDUAQrpUIwPSmV7sX6Z
体,からだ,身體,AJqCQoZ8FFygchyLnyz2
箱,はこ,箱,ANlgZrMjWM6Ld24CHWJn
野菜,やさい,蔬菜,ASfp8J1InwzznNgjvFdy
晴れる,はれる,放晴,Ad6oTFETVnMz8sibyVx1
～時間,～じかん,~[/~] 小時,AdPouVfKfwkiwNHTpraa
外,ほか,外,B5VATyFFuhI8RpgWFjzo
果物,くだもの,水果,BA2DMkmCriRpWI7HlEZY
脱ぐ,ぬぐ,脫下,BBJCnI0QesXEHbjzMWdD
着く,つく,抵達，到達,BCT2FfYqwH4Wi57UCQk9
ベッド,ベッド,床,BELL7N3WCtLFR8fCdNtH
ポスト,ポスト,郵筒、崗位,BJT7I79OPvufra1Oc9uV
～時,～とき,點鐘,BSJG6IPivMsV49fUHvJm
丁度,ちょうど,剛好，正好,BUIzhvsXXxojqfWFcKzH
レコード,レコード,唱片,BVrtvEkUx6HDHXdrzjyR
～円,～えん,日圓,Bfn8Ey6oJkOy5eNxcr6F
目,め,眼睛,BgOOKi6GHUk8aTPP6AAz
走る,はしる,跑,C1JTMecBHS64bef0bVs2
飛行機,ひこうき,飛機,C86zo9zUHMQrspK9Myu6
自動車,じどうしゃ,汽車,CLl6rwywlvp5D4jLWlrn
エレベーター,エレベーター,電梯,Ce83g8LncVmUWQ8jias6
辞書,じしょ,字典,Clx6tQsA5vFHW9aGHYKe
頼む,たのむ,請求,CmwZaPLMWtJue6BpsxTl
白,しろ,白,CprzfOeKYRORR6wDTXKb
姉,あね,家姊,D0ptcjcM4047EMhFOPk7
可愛い,かわいい,可愛,D2a8ZVAyuFVJCQDVxuj5
する,する,做，戴,DDTCINHIz74Gfvn1Bm2u
ああ,ああ,啊,DELTk8Y3RBd5Ip1e8UK4
フィルム,フィルム,底片,DQqMtlKNTVHh5PSOqj46
～だけ,～だけ,只、僅,DWIUoBTcwkkFkJgyuc3u
留学生,りゅうがくせい,留學生,DcWfAkQUiID87By3JeRx
飴,あめ,糖果,DjLL2E6jw3xhKRxYv7XN
背,せい,身高,DjQHHXZna5TY0GChxPFQ
差す,さす,舉起；撐開,DwKZHpfQ8ppyFBf0lOlX
この,この,這個,DxzOI0XAPj3uPNTi8ugG
名前,なまえ,名前,E9V1l491a1Mhr0UxnHT1
時々,ときどき,有時候,EDLZyyPf3ibwJqY3fOzr
～日,～じつ,第～日，～天,EHhg2bzF7dlGXOLFievW
晴れ,はれ,晴天,EJrLbJUgoI01hRKad4qg
さあ,さあ,來吧，那麼,EUn8mmlaQzEmaBSEOERa
作文,さくぶん,作文,EWG21GRM8B4LxzCKCURB
そっち,そっち,那邊,EfqDqdWJMxnSvfjBD0wr
お兄さん,おにいさん,哥哥,Ek7RVjfanLOK2Xe4zhll
～がる,～がる,感覺,EkQc0gSPjHrwXCc5eJi7
文章,ぶんしょう,句子，文本,Eo2WSzy8sOCQ393ape25
明後日,みょうごにち,後天,EvYU1MWJMx8UqlgqyDcx
昼御飯,ひるごはん,午餐,F1mO9QDDxtxPR7yetW2s
日曜日,にちようび,星期日,F4eTu3dp3hCv6zRR87Kh
鍵,かぎ,"鑰匙, 鎖",F9uSITjoIzq2XBnkl9NY
ギター,ギター,吉他,FARnEaQJKfRgoKkjpZg1
曲る,まがる,轉彎，彎曲,FC0yCMbGh8YceXfee0Rf
池,いけ,池,FIl4vVaVdOr4SCv3WsAh
～ずつ,～ずつ,一次一個,FPQtqPfeGLp70xawSa78
廊下,ろうか,走廊,FSYa9HAEGEBzVQYwGiSo
弱い,よわい,弱的,FpQ2gkXpJKTiGgarMMiu
東,ひがし,東,G9FAZu6b1BsKmEkuJCFe
道,みち,路、街；道路、方向,GB1Kkg0kyshr7TAu7Wgm
電話,でんわ,電話,GGc1JG7yAOkAft29vJd4
手,て,手,GVo7yDRnH8CCO8gwhf8P
広い,ひろい,寬敞，寬闊，廣闊,GeM36uVdN2X7p85UFfLq
靴下,くつした,襪子,GhDuISFDkD2r1oXagF7K
海,うみ,海,GhJiiZId0RW7fcBlbGDx
ハンカチ,ハンカチ,手帕,GlcMtagCgEYnZwHR8BxJ
字引,じびき,字典,GpXMrfXL72QuCbnxvIdJ
夏休み,なつやすみ,暑假,GtYAV7LID8wk0oYsyKj4
手紙,てがみ,信件,H4v5KquoJ3hz8cfYfkD1
～さん,～さん,先生，小姐,H6AWxGYbwRVJ8mDClRbZ
自分,じぶん,自己,H8mkxpeNtISSM2kAECH3
～杯,～はい,—杯,H9ZDhJqaIu6UaGBN2BkZ
～歳,～さい,-歲,HCkYnk5vSYi6ZMyRcBMd
居る,いる,在,HHzOARwm2FGr6iMABqRC
熱い,あつい,熱,HNZ4wLm5B7seBZzTUtVt
入口,いりぐち,入口,HSLJp77pXjWG63jQyJGp
寒い,さむい,寒冷,HVDa3DgIoJbeL4I5yrSv
顔,かお,臉,HYTa2vS71pSH3ApdPthc
もう,もう,已經，再次，更多,HezPPzlS4HhwxEG8qB8W
近く,ちかく,附近,HghwhMVWmtA8z2ohMstM
平仮名,ひらがな,平假名,HoAm9XIZLVN8vERcwRkK
半分,はんぶん,半分,HuOsxALDYJmwCh1Gx3xR
兄,あに,兄,HxvkLaiV5I3TjDP9pC9c
何,なん; なに,什麼,HyQPdDxCpEDRtlsVI7Yp
温い,ぬるい,微溫的,HznRgAQxEcUOYjVHG3Ol
喫茶店,きっさてん,咖啡廳,I2l94L7NNwQR2BFrckl7
鳴く,なく,鳴,I5rvQisTNEvltQ5HHl99
置く,おく,放、擱、置放,I85VIuMbn2taue6twTam
動物,どうぶつ,動物,IAaByyPJybuSqdyNTUcA
それでは,それでは,在那種情況下，那麼,IKa7FHjyYuFpadIvv9Lu
面白い,おもしろい,有趣的,IMUrabKKaLnZLIBoweeH
あの,あの,那邊；那樣；呃,IPJuun9nttNgAJfbqnqG
撮る,とる,拍攝照片，製作影片,IUOUQ3yuUUrnMNrYtPXX
ゼロ,ゼロ,零,IVcAxKLSKNBVUVfGaiZu
出る,でる,出現，離開,IYIDfqgYNfmnsQmHAMlZ
丈夫,じょうぶ,"強壯, 堅固, 耐用",Iu5OKv4yHPy8ciA2jXND
大好き,だいすき,非常喜歡,J6Li1TckoKl0lmnqWTfF
下,げ,下,JAHCOUJZ1yTbqI4oNhCE
緑,みどり,綠,Ja23M9MkAB4vodrfAZ0u
毎週,まいしゅう,每週,JbtCH0WCM1XEXCmtEAZR
いつ,いつ,何時,JfBzZ7buH5puWVlUXPx3
多い,おおい,多,JnEudlyABBu6O8iMuPrY
カレー,カレー,咖哩,JwW7fVeExS6QokyxOUX4
豚肉,ぶたにく,豬肉,K3RppGouJYYz5HY7XH0K
茶色,ちゃいろ,褐色,K4SnfYZfrDT9zN6VcwYr
片仮名,かたかな,片假名,K6zkYuUY4136lQtjR4tN
自転車,じてんしゃ,自行車,K8So7d3N2L8dnCUs8A66
万,まん,一萬,KE8t0QYgBFh0bIwPBJjv
毎朝,まいあさ,每朝,KHP11RcEXkTJWvlq91QL
かける,かける,撥打電話、坐下,KMDMFcmBmbxYTdxFpsak
意味,いみ,意味,KN0L4CuKRU1Ute0axDjP
こちら,こちら,這位人，這邊,KNroz9fFf70WRsVZCo5H
二十歳,はたち,二十歲,KS10GPZF7LON90h5EeP5
いかが,いかが,如何,KUdVKKuK3lzAm1XpJhnT
嫌い,きらい,討厭,KX19FGUkPGuJaJlGzx7G
カメラ,カメラ,相機,KfkpW3xTPQUzy363lph3
来年,らいねん,明年,Kmc2qMgUzCRhkUlaAuP7
トイレ,トイレ,廁所,KrL2iNxLE5lczBDin6YW
黒,くろ,黑,KxSLbdBTW5K6a5XhNZfK
ちょっと,ちょっと,一點點，有點,Kxn9tYxb8oPn2hFdyH6I
電車,でんしゃ,電車,L19TgXOrGz28RTEsWw3P
～語,～ご,語言,L88L0pqPgSga6uhyNOIi
お皿,おさら,盤子,LCMKvL5d1so8OP7VM2z2
降りる,おりる,下車,LMiSvT763HMOvhKsZwY1
葉書,はがき,明信片,LQt9O0PWTzztjqsjyaNz
プール,プール,游泳池,LlHJUoPeUequXqitXWdz
冬,ふゆ,冬,M4iXrEgsOegKmczWnoLo
