#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
徒歩,とほ,徒步,004aXIinh8OmERo9SuXT
本能,ほんのう,本能,009qlYFXZdDSWM6fpOpq
塵取り,ちりとり,畚箕,00REmZdzPctvnihf5b6g
清ます,すます,弄清楚，聽候,01Pbby6WcV7UhHd9gtjC
放射,ほうしゃ,輻射、發射,02IU1BtTww3VG3KLsVF5
戦術,せんじゅつ,戰術,02JrYQ3xpg5ryUZK0DUH
蕾,つぼみ,花蕾,02wU5hbdPwBLo1RgPqPv
固定,こてい,固定,05bkk5fqNyFYrp5fA7k3
遺跡,いせき,遺跡,05t2wnd0myu75yBL4sls
子息,しそく,令郎,05ugNrv8dewvKNFPWgGS
名簿,めいぼ,名冊,05yT2hxdJMNuXSbQjIL3
重んじる,おもんじる,尊重，敬重，看重,07QuFHuBaqoWfNR3VaYa
切実,せつじつ,切實,07rDbmqv9zFgF18Q93Sc
群衆,ぐんしゅう,群眾,085X3lM9PbDG8WnNYA4O
結び付ける,むすびつける,結合，連接，繫上，用結綁定,0AVyeEybSOUdaw55MHH1
心強い,こころづよい,令人心安的,0C6n0AOkAj01iylFrQMa
コントラスト,コントラスト,對比,0FjBqIguxqnhEXGlRFbh
快い,こころよい,愉快的,0HO1viQHyczqj4yqG8oV
市場,しじょう,市場,0HoOE4IHBkFQKsu1Ghdw
合成,ごうせい,"合成, 混合",0Hr0GKiNeitmiV3aIEa4
耽る,ふける,耽溺於中，沉迷於其中,0ITChuHXvkQkZaxics4d
決勝,けっしょう,決賽,0KAZ04DKTvbdFxSzmb3F
歩み,あゆみ,步伐、進展、歷史,0LalKxO9u8DKFrgo0xmu
整える,ととのえる,整理，調整，準備,0P36AHYYTdmzv4SOUz9x
慕う,したう,愛慕,0PDr8kHXKvl6Gk1dhxHN
定める,さだめる,決定,0SGllJBx0XIRpTvJc0hl
ベース,ベース,"基礎, 低音吉他",0STiTKkiNhTiJrTOaSIB
黄金,おうごん,黃金,0SbTv8YOU7xgb5jjDeE2
猛烈,もうれつ,猛烈,0SduoZNmszc6kKIszPAh
つかの間,つかのま,短暫的時刻,0X0vYnSQIF2Y9PGoS0aT
武装,ぶそう,武裝,0Yvmcjhe4KbO0nG34TK7
徴収,ちょうしゅう,徵收,0ZhThatkacIuWZZb0f2s
懐く,なつく,親近,0aCI7XDiO1I95bn5vfup
正義,せいぎ,正義,0akjfQf7eGI5e3Xvgg5C
淑やか,しとやか,優雅的,0bVNwjXXvnTeboViH9qA
目覚しい,めざましい,顯著的,0h4y0WPpeJWlW905ztHG
折衷,せっちゅう,折衷,0hVsU0t3ze0aexW2YUgs
紳士,しんし,紳士,0jM1lMnQefL7J5HBfCbf
正解,せいかい,正解,0krqkWbPiFaRZz2964Kp
同調,どうちょう,"同調, 共鳴, 一致",0mTJgxuCm9TZWy2RMaW1
取り替え,とりかえ,更換,0oZhEj4SZFpIcMNqAtvw
～画,～かく,畫,0odYDW0Gteme58KYxiRV
生死,せいし,生死,0pe7rVzfN0AdeWJV0keV
夜更け,よふけ,深夜,0q82jtpDsrVpqRWRharK
鍛える,きたえる,鍛煉,0r9tM1xfBrmVKOXc0IWR
山腹,さんぷく,山腹,0roHiKKz4bZeFHveX76J
スプリング,スプリング,彈簧,0uKxw6edWrqSATiwuPfS
器,うつわ,碗，器皿，容器,0vIRINR8xPlaKy9OXHaw
軽蔑,けいべつ,輕蔑,0w48Wl9sOsTryi5fjsVk
レギュラー,レギュラー,正規,0xZRUtgydKTNzaf4acuu
休める,やすめる,"休息, 暫停, 給予緩解",0z2jGz3TyvgO0L3Dafs7
残高,ざんだか,餘額,0zMfAN7WzT94i6HH5otb
助言,じょげん,助言,0zWxfT6befQzkneCX1Hi
顔付き,かおつき,臉色,104OBdXLHSOVj1GPtjWc
ソロ,ソロ,獨奏,10b3IMA0AiN1JvtyHTgf
衣装,いしょう,衣裝,12M5anfgeWafDGv33zu6
一心,いっしん,一心,13YN20YiVDcQvirdGhvY
裾,すそ,下擺,13apuARx3e1cu6tYBeUI
大部,たいぶ,大部分,15vPdxSOTxfEoXcfrRbv
おろそか,おろそか,疏忽，怠慢，輕忽,178bY1QvMluvbvqoFoPt
液,えき,液,1AFR0up26qahLnsvog3Y
負債,ふさい,負債,1DKw7rTFdwJ5gtXBnYI8
孤独,こどく,孤獨,1Di9t4dqQYe1X4MmejKf
～症,～しょう,症狀,1FRdULhYhaV6LoT5mIvX
ぐっと,ぐっと,緊緊地，牢牢地，更加,1GHWwrwqgmqKE8tQqaP2
手引,てびき,指導，指南，入門,1GSwX0nQex8YOdilAbl3
等級,とうきゅう,等級,1HORr9L6KUrEBqxMyfpl
舗装,ほそう,鋪裝,1IgDPpFw3k1boAjuxv6i
ほっぺた,ほっぺた,臉頰,1JF5zkd9Wk4Gks8EymOq
工学,こうがく,工學,1JksGqTm51wUtrAjD0DR
隠居,いんきょ,隱居，退休人士,1Jy5cGAJ07WWq8WqqsMf
ファイト,ファイト,加油,1KyDZBvwrxk1Y56xPfqW
敢えて,あえて,敢於挑戰,1M6RBj4zNTtFYh8MqyX9
郷里,きょうり,故鄉,1NELtnQXjxoCNhZXr2iM
支持,しじ,支持,1Nc82E7n4P9OgMIef4hV
所在,しょざい,所在,1QHNvhsWY1B6JCPtLW6A
民宿,みんしゅく,民宿,1QmepTQCPHWCEDRWKBqC
教訓,きょうくん,教訓,1Qxboz2fX3uf6LFm1eEW
もしかして,もしかして,或許，可能,1SoZLl4cUMeLvruhKJNA
取り寄せる,とりよせる,訂購,1U4S3mWHQn7FveO7vJL3
極楽,ごくらく,極樂,1WRTXzdZneGvgwFk10CE
無茶苦茶,むちゃくちゃ,亂七八糟,1ZYHUfDTWI9rrWBFgT88
嘗める,なめる,舔，經歷，戲弄,1a2aSpA22wna3GLCXm1R
聞き取り,ききとり,聽力理解,1bbIz4CpnyOEKcb4AswK
身振り,みぶり,身體語言,1bpq7A2FODf88w4E36wd
滅びる,ほろびる,滅亡,1dwMPgalEucWmpOVlntu
見なす,みなす,視作、認定為,1hf3xKv1rHzsSiMhjARw
