#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
コレクション,コレクション,收藏,03BW7j82x7ODNibdGwPy
バンド,バンド,樂團,03R6P3A31CVWL8XElk0j
挟む,はさむ,夾,04MAaHWr3Ih5b9ZlyhVo
～園,～えん,園,04mvdI7jqhxd8htKIlqW
呆れる,あきれる,震驚，感到震驚,04vigPiRj07aF0DrZmdM
あちらこちら,あちらこちら,到處,06gLrwAiFXvqXe101cQk
縞,しま,條紋,07XkFENXaUvKpRHeMgge
のろのろ,のろのろ,緩慢地,08W584QDzaUo1CyYnw5U
内線,ないせん,分機,0AI00KKh3QsOipwRRIsf
お参り,おまいり,參拜,0BUmj85MTalFt6lhMasx
免税,めんぜい,免稅,0CzNXna1CVD8woZ0QD4m
集会,しゅうかい,集會,0FTnbWM3RPV6yi1Hb9OB
釜,かま,鐵鍋，水壺,0SvfW2ygziAqYxksLuh9
干す,ほす,晾乾，弄乾，喝光,0TLqGtqFBOC85KGrgqkj
濁る,にごる,變混濁,0UiOsIpTlCajygOcf1kY
絶えず,たえず,不斷地,0WHg5U7ZHjlQS4CQel7b
原料,げんりょう,原料,0X0a1MIuRU8Ec4hxXcXJ
一定,いってい,"固定, 安定, 規律",0XHfnLdjVcuRjsr7Y4qm
製作,せいさく,製作,0XZmFf9zQrLuzrDTdwpZ
文献,ぶんけん,文獻,0XyOuTvPIJAwQX4i6MDm
成分,せいぶん,成分,0YSz1OrgfYQr43GNHlzC
スライド,スライド,投影片,0eFCYg2us2UzLZFdxhyo
申し訳ない,もうしわけない,抱歉，真是對不起,0eHCz5oYtZ0hVUzzfyTO
麓,ふもと,山麓,0ePxwO35eMGRTjcvvFFC
略す,りゃくす,縮寫,0eRiuDxgxvGQMGryad1s
しゃがむ,しゃがむ,蹲下,0fdxWTRc4W0UhArOuCAN
またぐ,またぐ,跨過,0h9SNeWyUYuyjSoelmu1
ボーナス,ボーナス,獎金,0jU5XwravUem8Wjtc6Tt
長男,ちょうなん,長男,0mZ5xolN7pm0ATjapZdS
ダブル,ダブル,雙倍,0o3A5BiBCKwvC7VAepVA
～画,～かく,畫,0odYDW0Gteme58KYxiRV
電波,でんぱ,電波,0oelWkbQJf9l05elqFd2
交通機関,こうつうきかん,交通機關,0pw3jidTd6ZJUgiGygcz
低下,ていか,低下,0tj4VOW2dULHbfYMQVFu
荒い,あらい,粗魯，無禮，狂野,0wn7PQNmTz2IQuhDEy2o
～年生,～ねんせい,⋯年級學生,0xKEPa0TcSmflK9JZExD
炭鉱,たんこう,煤礦,0xygCiTujGFbGC1k7d0h
しわ (かおの～),しわ (かおの～),皺紋,0zA1M4R0PyodTX9jEZk5
コース,コース,路線,0zNM7ZQV2SO2aP2wYDxh
湿気,しっき,濕氣,10MbEq7yP4v38paRiEke
琴,きん,箏,10bfjLlMQ5fYTBcKiDWF
自然科学,しぜんかがく,自然科學,13Cu4AZa6ISpUpuRwPLq
物差し,ものさし,尺,15APhkzZ1jbhyI3dowwJ
～遍,～へん,次,15jrcMQrdJwj0vDBv9XV
自宅,じたく,自宅,16LIwi3sg6fIM4Gruicj
近々,ちかぢか,近近,18BzR0Poroq7Q3ErGJqT
〜 (まる) ごと,〜 (まる) ごと,整個,1BbC55OlcZHmGyruOh93
基準,きじゅん,"標準, 基礎, 準則",1C7QBAcd1a0kEBm8FJM2
怒鳴る,どなる,大聲吼叫,1DcYXvzwCJ7jKYB5VE4R
やかん,やかん,水壺,1HVTR5OvaluUucUdbg17
全身,ぜんしん,全身,1HkcFBhQ2IhnMbO7ReG0
不通,ふつう,中斷、封鎖、停止,1IV8bV3cJInfEsXC9PzC
レジャー,レジャー,休閒,1IpDjoyKdsySvlUCn0Xn
来日,らいにち,來日,1KFkWeHfvspy1B2mA5xj
こうして,こうして,這樣,1KZI0G8vr3YI42Guzhnj
やっぱり,やっぱり,畢竟，反正,1M8gHfCdmmVcnkwqJchQ
押さえる,おさえる,壓住、按住、抓住,1Q8u69QFo9WE606MGY3V
丼,どんぶり,丼飯,1QAI6IrAYIMKV6Lfb26F
夜行,やこう,夜行,1UlqSJLefxLp9bzNtJQ9
親指,おやゆび,拇指,1YIE2JWc2x8jCpao7LUm
定規,じょうぎ,尺子,1YecdWqPnjv84aiBSq4R
恐縮,きょうしゅく,抱歉給您添麻煩了。,1ZyKkM0F9PXHzn9w5PQI
建つ,たつ,建立,1dJ9du3W05WJfbNbUE4K
方程式,ほうていしき,方程式,1e1ts8xtxyfPxndgqeaX
拡充,かくじゅう,擴充,1fRN7eHfsCZa7kqWnwFP
理科,りか,理科,1h6bvGTdknsXma1nxury
公表,こうひょう,公表,1hs2OkEfa0p2C6sX4XFj
校庭,こうてい,校庭,1kceGavE8V0hAf1fDzqn
講師,こうし,講師,1nhcKLx24Sde0sKw87bw
砕ける,くだける,碎裂,1nsAa8wJxOZ6vICj3LBp
大工,だいく,木工,1sFEK7E3ddrJbE09a4v8
回り道,まわりみち,繞路,1uy85vhOeIxSDgeWslKk
工員,こういん,工廠工人,1vZfzTrhTFRiOCJ6AdVP
方言,ほうげん,方言,1yGCPVn0FS6ExotwxdCs
